Ride,Date/Time,Wait Time
Alice in Wonderland,2020-02-01 17:45:04,30
Alice in Wonderland,2020-02-01 17:50:04,30
Alice in Wonderland,2020-02-01 17:55:07,30
Alice in Wonderland,2020-02-01 18:00:04,30
Alice in Wonderland,2020-02-01 18:05:07,30
Alice in Wonderland,2020-02-01 18:10:05,30
Alice in Wonderland,2020-02-01 18:15:03,30
Alice in Wonderland,2020-02-01 18:20:08,30
Alice in Wonderland,2020-02-01 18:25:03,30
Alice in Wonderland,2020-02-01 18:30:04,30
Alice in Wonderland,2020-02-01 18:35:04,30
Alice in Wonderland,2020-02-01 18:45:03,30
Alice in Wonderland,2020-02-01 18:50:09,30
Alice in Wonderland,2020-02-01 18:55:03,30
Alice in Wonderland,2020-02-01 19:00:05,30
Alice in Wonderland,2020-02-01 19:05:04,30
Alice in Wonderland,2020-02-01 19:10:03,30
Alice in Wonderland,2020-02-01 19:15:05,30
Alice in Wonderland,2020-02-01 19:20:04,30
Alice in Wonderland,2020-02-01 19:25:04,30
Alice in Wonderland,2020-02-01 19:30:04,30
Alice in Wonderland,2020-02-01 19:35:05,30
Alice in Wonderland,2020-02-01 19:40:08,30
Alice in Wonderland,2020-02-01 19:50:05,30
Alice in Wonderland,2020-02-01 19:55:03,30
Alice in Wonderland,2020-02-01 20:00:06,30
Alice in Wonderland,2020-02-01 20:05:04,30
Alice in Wonderland,2020-02-01 20:10:04,30
Alice in Wonderland,2020-02-01 20:15:05,30
Alice in Wonderland,2020-02-01 20:20:05,30
Alice in Wonderland,2020-02-01 20:25:04,30
Alice in Wonderland,2020-02-01 20:30:04,30
Alice in Wonderland,2020-02-01 20:35:06,20
Alice in Wonderland,2020-02-01 20:40:03,20
Alice in Wonderland,2020-02-01 20:45:05,20
Alice in Wonderland,2020-02-01 20:50:07,20
Alice in Wonderland,2020-02-01 20:55:04,20
Alice in Wonderland,2020-02-01 21:00:10,20
Alice in Wonderland,2020-02-01 21:05:05,20
Alice in Wonderland,2020-02-01 21:10:05,20
Alice in Wonderland,2020-02-01 21:15:05,20
Alice in Wonderland,2020-02-01 21:20:05,20
Alice in Wonderland,2020-02-01 21:25:03,20
Alice in Wonderland,2020-02-01 21:30:08,20
Alice in Wonderland,2020-02-01 21:35:03,20
Alice in Wonderland,2020-02-01 21:40:05,20
Alice in Wonderland,2020-02-01 21:45:07,20
Alice in Wonderland,2020-02-01 21:50:04,10
