Park,Date/Time,Wait Time
EPCOT,2020-02-02 09:45:00,18
EPCOT,2020-02-02 09:50:00,19
EPCOT,2020-02-02 09:55:00,21
EPCOT,2020-02-02 10:00:00,22
EPCOT,2020-02-02 10:05:00,22
EPCOT,2020-02-02 10:10:00,22
EPCOT,2020-02-02 10:15:00,23
EPCOT,2020-02-02 10:20:00,31
EPCOT,2020-02-02 10:25:00,31
EPCOT,2020-02-02 10:30:00,28
EPCOT,2020-02-02 10:35:00,37
EPCOT,2020-02-02 10:40:00,37
EPCOT,2020-02-02 10:45:00,36
EPCOT,2020-02-02 10:50:00,37
EPCOT,2020-02-02 10:55:00,40
EPCOT,2020-02-02 11:00:00,39
EPCOT,2020-02-02 11:05:00,43
EPCOT,2020-02-02 11:10:00,39
EPCOT,2020-02-02 11:15:00,38
EPCOT,2020-02-02 11:20:00,41
EPCOT,2020-02-02 11:25:00,39
EPCOT,2020-02-02 11:30:00,36
EPCOT,2020-02-02 11:35:00,38
EPCOT,2020-02-02 11:40:00,42
EPCOT,2020-02-02 11:45:00,41
EPCOT,2020-02-02 11:50:00,39
EPCOT,2020-02-02 11:55:00,41
EPCOT,2020-02-02 12:00:00,42
EPCOT,2020-02-02 12:05:00,42
EPCOT,2020-02-02 12:10:00,41
EPCOT,2020-02-02 12:15:00,42
EPCOT,2020-02-02 12:20:00,41
EPCOT,2020-02-02 12:25:00,38
EPCOT,2020-02-02 12:30:00,37
EPCOT,2020-02-02 12:35:00,36
EPCOT,2020-02-02 12:40:00,38
EPCOT,2020-02-02 12:45:00,38
EPCOT,2020-02-02 12:50:00,39
EPCOT,2020-02-02 12:55:00,36
EPCOT,2020-02-02 13:00:00,38
EPCOT,2020-02-02 13:05:00,37
EPCOT,2020-02-02 13:10:00,34
EPCOT,2020-02-02 13:15:00,31
EPCOT,2020-02-02 13:20:00,28
EPCOT,2020-02-02 13:25:00,26
EPCOT,2020-02-02 13:30:00,26
EPCOT,2020-02-02 13:35:00,25
EPCOT,2020-02-02 13:40:00,22
EPCOT,2020-02-02 13:45:00,22
EPCOT,2020-02-02 13:50:00,24
EPCOT,2020-02-02 13:55:00,23
EPCOT,2020-02-02 14:00:00,24
EPCOT,2020-02-02 14:05:00,24
EPCOT,2020-02-02 14:10:00,25
EPCOT,2020-02-02 14:15:00,25
EPCOT,2020-02-02 14:20:00,26
EPCOT,2020-02-02 14:25:00,24
EPCOT,2020-02-02 14:30:00,24
EPCOT,2020-02-02 14:35:00,26
EPCOT,2020-02-02 14:40:00,29
EPCOT,2020-02-02 14:45:00,28
EPCOT,2020-02-02 14:50:00,29
EPCOT,2020-02-02 14:55:00,29
EPCOT,2020-02-02 15:00:00,30
EPCOT,2020-02-02 15:05:00,30
EPCOT,2020-02-02 15:10:00,30
EPCOT,2020-02-02 15:15:00,26
EPCOT,2020-02-02 15:20:00,26
EPCOT,2020-02-02 15:25:00,26
EPCOT,2020-02-02 15:30:00,28
EPCOT,2020-02-02 15:35:00,26
EPCOT,2020-02-02 15:40:00,28
EPCOT,2020-02-02 15:45:00,28
EPCOT,2020-02-02 15:50:00,28
EPCOT,2020-02-02 15:55:00,27
EPCOT,2020-02-02 16:00:00,26
EPCOT,2020-02-02 16:05:00,24
EPCOT,2020-02-02 16:10:00,24
EPCOT,2020-02-02 16:15:00,26
EPCOT,2020-02-02 16:20:00,26
EPCOT,2020-02-02 16:25:00,27
EPCOT,2020-02-02 16:30:00,26
EPCOT,2020-02-02 16:35:00,27
EPCOT,2020-02-02 16:40:00,25
EPCOT,2020-02-02 16:45:00,24
EPCOT,2020-02-02 16:50:00,21
EPCOT,2020-02-02 16:55:00,24
EPCOT,2020-02-02 17:00:00,22
EPCOT,2020-02-02 17:05:00,21
EPCOT,2020-02-02 17:10:00,22
EPCOT,2020-02-02 17:15:00,21
EPCOT,2020-02-02 17:20:00,20
EPCOT,2020-02-02 17:25:00,20
EPCOT,2020-02-02 17:30:00,20
EPCOT,2020-02-02 17:35:00,20
EPCOT,2020-02-02 17:40:00,20
EPCOT,2020-02-02 17:45:00,20
EPCOT,2020-02-02 17:50:00,20
EPCOT,2020-02-02 17:55:00,21
EPCOT,2020-02-02 18:00:00,20
EPCOT,2020-02-02 18:05:00,20
EPCOT,2020-02-02 18:10:00,22
EPCOT,2020-02-02 18:15:00,22
EPCOT,2020-02-02 18:20:00,21
EPCOT,2020-02-02 18:25:00,20
EPCOT,2020-02-02 18:30:00,20
EPCOT,2020-02-02 18:35:00,21
