,Date,Time,Waiting Time
107,03/23/2015,2015-03-23 18:00:05,0.0
108,03/23/2015,2015-03-23 18:05:03,0.0
109,03/23/2015,2015-03-23 18:10:04,0.0
110,03/23/2015,2015-03-23 18:15:04,0.0
111,03/23/2015,2015-03-23 18:20:03,0.0
112,03/23/2015,2015-03-23 18:25:03,0.0
113,03/23/2015,2015-03-23 18:30:04,0.0
114,03/23/2015,2015-03-23 18:35:06,0.0
115,03/23/2015,2015-03-23 18:40:03,0.0
116,03/23/2015,2015-03-23 18:45:04,0.0
117,03/23/2015,2015-03-23 18:50:03,0.0
118,03/23/2015,2015-03-23 18:55:03,0.0
119,03/23/2015,2015-03-23 19:00:04,0.0
120,03/23/2015,2015-03-23 19:05:04,0.0
121,03/23/2015,2015-03-23 19:10:04,0.0
122,03/23/2015,2015-03-23 19:15:04,0.0
123,03/23/2015,2015-03-23 19:20:06,0.0
124,03/23/2015,2015-03-23 19:25:03,0.0
125,03/23/2015,2015-03-23 19:30:04,0.0
126,03/23/2015,2015-03-23 19:35:04,0.0
127,03/23/2015,2015-03-23 19:40:03,0.0
128,03/23/2015,2015-03-23 19:45:04,0.0
129,03/23/2015,2015-03-23 19:50:03,0.0
130,03/23/2015,2015-03-23 19:55:05,0.0
131,03/23/2015,2015-03-23 20:00:03,0.0
132,03/23/2015,2015-03-23 20:05:03,0.0
133,03/23/2015,2015-03-23 20:10:04,0.0
134,03/23/2015,2015-03-23 20:15:04,0.0
135,03/23/2015,2015-03-23 20:20:03,0.0
136,03/23/2015,2015-03-23 20:25:03,0.0
137,03/23/2015,2015-03-23 20:30:04,0.0
138,03/23/2015,2015-03-23 20:35:04,0.0
139,03/23/2015,2015-03-23 20:40:03,0.0
140,03/23/2015,2015-03-23 20:45:03,0.0
141,03/23/2015,2015-03-23 20:50:04,0.0
142,03/23/2015,2015-03-23 20:55:03,0.0
143,03/23/2015,2015-03-23 21:00:15,0.0
144,03/23/2015,2015-03-23 21:10:04,0.0
145,03/23/2015,2015-03-23 21:15:03,0.0
146,03/23/2015,2015-03-23 21:20:04,0.0
147,03/23/2015,2015-03-23 21:25:03,0.0
148,03/23/2015,2015-03-23 21:30:04,0.0
149,03/23/2015,2015-03-23 21:35:03,0.0
150,03/23/2015,2015-03-23 21:40:03,0.0
151,03/23/2015,2015-03-23 21:45:03,0.0
152,03/23/2015,2015-03-23 21:50:03,0.0
153,03/23/2015,2015-03-23 21:55:03,0.0
154,03/23/2015,2015-03-23 22:00:03,0.0
155,03/23/2015,2015-03-23 22:05:04,0.0
156,03/23/2015,2015-03-23 22:10:03,0.0
157,03/23/2015,2015-03-23 22:15:04,0.0
158,03/23/2015,2015-03-23 22:20:04,0.0
159,03/23/2015,2015-03-23 22:25:04,0.0
160,03/23/2015,2015-03-23 22:30:04,0.0
161,03/23/2015,2015-03-23 22:35:03,0.0
162,03/23/2015,2015-03-23 22:40:04,0.0
163,03/23/2015,2015-03-23 22:45:03,0.0
164,03/23/2015,2015-03-23 22:50:04,0.0
165,03/23/2015,2015-03-23 22:55:04,0.0
166,05/10/2016,2016-05-10 09:07:10,5.0
167,05/10/2016,2016-05-10 09:14:07,5.0
168,05/10/2016,2016-05-10 09:21:08,5.0
169,05/10/2016,2016-05-10 09:27:06,5.0
170,05/10/2016,2016-05-10 09:42:06,5.0
171,05/10/2016,2016-05-10 09:49:09,5.0
172,05/10/2016,2016-05-10 09:56:10,5.0
173,05/10/2016,2016-05-10 10:00:09,5.0
174,05/10/2016,2016-05-10 10:07:47,5.0
175,05/10/2016,2016-05-10 10:14:28,5.0
176,05/10/2016,2016-05-10 10:21:11,5.0
177,05/10/2016,2016-05-10 10:27:16,5.0
178,05/10/2016,2016-05-10 10:35:12,5.0
179,05/10/2016,2016-05-10 10:42:13,5.0
180,05/10/2016,2016-05-10 10:49:11,5.0
181,05/10/2016,2016-05-10 10:56:10,5.0
182,05/10/2016,2016-05-10 11:00:10,5.0
183,05/10/2016,2016-05-10 11:07:10,5.0
184,05/10/2016,2016-05-10 11:14:09,5.0
185,05/10/2016,2016-05-10 11:21:11,5.0
186,05/10/2016,2016-05-10 11:27:12,5.0
187,05/10/2016,2016-05-10 11:35:10,5.0
188,05/10/2016,2016-05-10 11:42:44,5.0
189,05/10/2016,2016-05-10 11:49:08,5.0
190,05/10/2016,2016-05-10 11:56:12,5.0
191,05/10/2016,2016-05-10 12:00:05,5.0
192,05/10/2016,2016-05-10 12:07:10,5.0
193,05/10/2016,2016-05-10 12:14:09,5.0
194,05/10/2016,2016-05-10 12:21:45,5.0
195,05/10/2016,2016-05-10 12:27:11,5.0
196,05/10/2016,2016-05-10 12:35:05,5.0
197,05/10/2016,2016-05-10 12:42:14,5.0
198,05/10/2016,2016-05-10 12:49:06,5.0
199,05/10/2016,2016-05-10 12:56:07,5.0
200,05/10/2016,2016-05-10 13:00:45,5.0
201,05/10/2016,2016-05-10 13:14:04,5.0
202,05/10/2016,2016-05-10 13:21:21,5.0
203,05/10/2016,2016-05-10 13:27:08,5.0
204,05/10/2016,2016-05-10 13:35:10,5.0
205,05/10/2016,2016-05-10 13:42:20,5.0
206,05/10/2016,2016-05-10 14:00:15,5.0
207,05/10/2016,2016-05-10 14:07:08,5.0
