,Date,Time,Waiting Time
107,03/28/2016,2016-03-28 10:00:27,0.0
108,03/28/2016,2016-03-28 10:07:06,0.0
109,03/28/2016,2016-03-28 10:14:12,0.0
110,03/28/2016,2016-03-28 10:21:04,0.0
111,03/28/2016,2016-03-28 10:27:05,0.0
112,03/28/2016,2016-03-28 10:35:08,0.0
113,03/28/2016,2016-03-28 10:42:05,0.0
114,03/28/2016,2016-03-28 10:49:11,0.0
115,03/28/2016,2016-03-28 10:56:08,0.0
116,03/28/2016,2016-03-28 11:07:05,0.0
117,03/28/2016,2016-03-28 11:14:11,0.0
118,03/28/2016,2016-03-28 11:21:11,0.0
119,03/28/2016,2016-03-28 11:27:10,0.0
120,03/28/2016,2016-03-28 11:42:06,0.0
121,03/28/2016,2016-03-28 11:49:13,0.0
122,03/28/2016,2016-03-28 11:56:10,0.0
123,03/28/2016,2016-03-28 12:00:09,0.0
124,03/28/2016,2016-03-28 12:07:12,0.0
125,03/28/2016,2016-03-28 12:14:34,0.0
126,03/28/2016,2016-03-28 12:21:14,0.0
127,03/28/2016,2016-03-28 12:27:46,0.0
128,03/28/2016,2016-03-28 12:42:11,0.0
129,03/28/2016,2016-03-28 12:49:16,0.0
130,03/28/2016,2016-03-28 12:56:06,0.0
131,03/28/2016,2016-03-28 13:07:48,0.0
132,03/28/2016,2016-03-28 13:21:11,0.0
133,03/28/2016,2016-03-28 13:27:10,0.0
134,03/28/2016,2016-03-28 13:35:37,0.0
135,03/28/2016,2016-03-28 13:42:07,0.0
136,03/28/2016,2016-03-28 13:49:10,0.0
137,03/28/2016,2016-03-28 13:56:12,0.0
138,03/28/2016,2016-03-28 14:07:07,0.0
139,03/28/2016,2016-03-28 14:15:00,0.0
140,03/28/2016,2016-03-28 14:21:12,0.0
141,03/28/2016,2016-03-28 14:27:06,0.0
142,03/28/2016,2016-03-28 14:35:12,0.0
143,03/28/2016,2016-03-28 14:42:47,0.0
144,03/28/2016,2016-03-28 14:49:11,0.0
145,03/28/2016,2016-03-28 14:56:09,0.0
146,03/28/2016,2016-03-28 15:07:07,0.0
147,03/28/2016,2016-03-28 15:14:15,0.0
148,03/28/2016,2016-03-28 15:21:14,0.0
149,03/28/2016,2016-03-28 15:35:36,0.0
150,03/28/2016,2016-03-28 15:42:10,0.0
151,03/28/2016,2016-03-28 15:49:49,0.0
152,03/28/2016,2016-03-28 16:00:14,0.0
153,03/28/2016,2016-03-28 16:07:09,0.0
154,03/28/2016,2016-03-28 16:14:10,0.0
155,03/28/2016,2016-03-28 16:21:26,0.0
156,03/28/2016,2016-03-28 16:27:34,0.0
157,03/28/2016,2016-03-28 16:35:28,0.0
158,03/28/2016,2016-03-28 16:42:10,0.0
159,03/28/2016,2016-03-28 16:49:09,0.0
160,03/28/2016,2016-03-28 16:56:05,0.0
161,03/28/2016,2016-03-28 17:07:30,0.0
162,03/28/2016,2016-03-28 17:14:08,0.0
163,03/28/2016,2016-03-28 17:21:09,0.0
164,03/28/2016,2016-03-28 17:27:12,0.0
165,03/28/2016,2016-03-28 17:35:13,0.0
166,03/28/2016,2016-03-28 17:42:37,0.0
167,03/28/2016,2016-03-28 17:49:06,0.0
168,03/28/2016,2016-03-28 17:56:13,0.0
169,03/28/2016,2016-03-28 18:00:15,0.0
170,03/28/2016,2016-03-28 18:07:09,0.0
171,03/28/2016,2016-03-28 18:14:10,0.0
172,03/28/2016,2016-03-28 18:21:10,0.0
173,03/28/2016,2016-03-28 18:27:10,0.0
174,03/28/2016,2016-03-28 18:35:07,0.0
175,03/28/2016,2016-03-28 18:42:07,0.0
176,03/28/2016,2016-03-28 18:49:18,0.0
177,03/28/2016,2016-03-28 18:56:04,0.0
178,03/28/2016,2016-03-28 19:07:16,0.0
179,03/28/2016,2016-03-28 19:14:09,0.0
180,03/28/2016,2016-03-28 19:27:09,0.0
181,03/28/2016,2016-03-28 19:35:11,0.0
182,03/28/2016,2016-03-28 19:42:14,0.0
183,03/28/2016,2016-03-28 19:49:10,0.0
184,03/28/2016,2016-03-28 19:56:05,0.0
185,03/28/2016,2016-03-28 20:00:11,0.0
186,03/28/2016,2016-03-28 20:07:06,0.0
187,03/28/2016,2016-03-28 20:14:08,0.0
188,03/28/2016,2016-03-28 20:21:05,0.0
189,03/28/2016,2016-03-28 20:27:14,0.0
190,03/28/2016,2016-03-28 20:35:08,0.0
191,03/28/2016,2016-03-28 20:42:09,0.0
192,04/03/2016,2016-04-03 09:07:14,0.0
193,04/03/2016,2016-04-03 09:14:30,0.0
194,04/03/2016,2016-04-03 09:21:10,0.0
195,04/03/2016,2016-04-03 09:27:11,0.0
196,04/03/2016,2016-04-03 09:35:12,0.0
197,04/03/2016,2016-04-03 09:42:51,0.0
198,04/03/2016,2016-04-03 09:49:10,0.0
199,04/03/2016,2016-04-03 10:07:09,0.0
200,04/03/2016,2016-04-03 10:14:07,0.0
201,04/03/2016,2016-04-03 10:21:07,0.0
202,04/03/2016,2016-04-03 10:27:06,0.0
203,04/03/2016,2016-04-03 10:35:07,0.0
204,04/03/2016,2016-04-03 10:42:08,0.0
205,04/03/2016,2016-04-03 10:56:10,0.0
206,04/03/2016,2016-04-03 11:00:18,0.0
207,04/03/2016,2016-04-03 11:07:12,0.0
208,04/03/2016,2016-04-03 11:14:13,0.0
209,04/03/2016,2016-04-03 11:21:07,0.0
210,04/03/2016,2016-04-03 11:27:19,0.0
211,04/03/2016,2016-04-03 11:35:08,0.0
212,04/03/2016,2016-04-03 11:42:08,0.0
213,04/03/2016,2016-04-03 11:49:07,0.0
214,04/03/2016,2016-04-03 12:00:22,0.0
215,04/03/2016,2016-04-03 12:07:08,0.0
216,04/03/2016,2016-04-03 12:14:39,0.0
217,04/03/2016,2016-04-03 12:21:13,0.0
218,04/03/2016,2016-04-03 12:27:11,0.0
219,04/03/2016,2016-04-03 12:42:16,0.0
220,04/03/2016,2016-04-03 12:49:10,0.0
221,04/03/2016,2016-04-03 13:00:19,0.0
222,04/03/2016,2016-04-03 13:07:11,0.0
223,04/03/2016,2016-04-03 13:14:07,0.0
224,04/03/2016,2016-04-03 13:21:25,0.0
225,04/03/2016,2016-04-03 13:27:11,0.0
226,04/03/2016,2016-04-03 13:35:09,0.0
227,04/03/2016,2016-04-03 13:42:11,0.0
228,04/03/2016,2016-04-03 13:49:14,0.0
229,04/03/2016,2016-04-03 13:56:27,0.0
230,04/03/2016,2016-04-03 14:07:15,0.0
231,04/03/2016,2016-04-03 14:14:41,0.0
232,04/03/2016,2016-04-03 14:21:12,0.0
233,04/03/2016,2016-04-03 14:27:12,0.0
234,04/03/2016,2016-04-03 14:35:07,0.0
235,04/03/2016,2016-04-03 14:42:11,0.0
236,04/03/2016,2016-04-03 14:49:04,0.0
237,04/03/2016,2016-04-03 14:56:08,0.0
238,04/03/2016,2016-04-03 15:07:09,0.0
239,04/03/2016,2016-04-03 15:14:10,0.0
240,04/03/2016,2016-04-03 15:21:13,0.0
241,04/03/2016,2016-04-03 15:27:19,0.0
242,04/03/2016,2016-04-03 15:35:08,0.0
243,04/03/2016,2016-04-03 15:49:08,0.0
244,04/03/2016,2016-04-03 15:56:18,0.0
245,04/03/2016,2016-04-03 16:00:16,0.0
246,04/03/2016,2016-04-03 16:07:10,0.0
247,04/03/2016,2016-04-03 16:14:13,0.0
248,04/03/2016,2016-04-03 16:21:12,0.0
249,04/03/2016,2016-04-03 16:27:13,0.0
250,04/03/2016,2016-04-03 16:35:12,0.0
251,04/03/2016,2016-04-03 16:49:10,0.0
252,04/03/2016,2016-04-03 16:56:11,0.0
253,04/03/2016,2016-04-03 17:07:11,0.0
254,04/03/2016,2016-04-03 17:14:09,0.0
255,04/03/2016,2016-04-03 17:21:31,0.0
256,04/03/2016,2016-04-03 17:27:11,0.0
257,04/03/2016,2016-04-03 17:42:10,0.0
258,04/03/2016,2016-04-03 17:49:11,0.0
259,04/03/2016,2016-04-03 17:56:11,0.0
260,04/03/2016,2016-04-03 18:07:04,0.0
261,04/03/2016,2016-04-03 18:14:05,0.0
262,04/03/2016,2016-04-03 18:21:05,0.0
263,04/03/2016,2016-04-03 18:27:07,0.0
264,04/03/2016,2016-04-03 18:35:06,0.0
265,04/03/2016,2016-04-03 18:42:07,0.0
266,04/03/2016,2016-04-03 18:49:11,0.0
267,04/03/2016,2016-04-03 18:56:16,0.0
268,04/03/2016,2016-04-03 19:07:08,0.0
269,04/03/2016,2016-04-03 19:14:11,0.0
270,04/03/2016,2016-04-03 19:21:12,0.0
271,04/03/2016,2016-04-03 19:35:11,0.0
272,04/03/2016,2016-04-03 19:42:10,0.0
273,04/03/2016,2016-04-03 19:49:08,0.0
274,04/03/2016,2016-04-03 19:56:07,0.0
275,04/03/2016,2016-04-03 20:00:10,0.0
276,04/03/2016,2016-04-03 20:07:09,0.0
277,04/03/2016,2016-04-03 20:14:11,0.0
278,04/03/2016,2016-04-03 20:21:07,0.0
279,04/03/2016,2016-04-03 20:27:11,0.0
280,04/03/2016,2016-04-03 20:35:08,0.0
281,04/03/2016,2016-04-03 20:42:20,0.0
282,04/03/2016,2016-04-03 20:49:11,0.0
283,04/03/2016,2016-04-03 20:56:09,0.0
284,04/04/2016,2016-04-04 09:14:10,0.0
285,04/04/2016,2016-04-04 09:21:10,0.0
286,04/04/2016,2016-04-04 09:27:20,0.0
287,04/04/2016,2016-04-04 09:35:12,0.0
288,04/04/2016,2016-04-04 09:42:13,0.0
289,04/04/2016,2016-04-04 09:49:07,0.0
290,04/04/2016,2016-04-04 09:56:13,0.0
291,04/04/2016,2016-04-04 10:00:10,0.0
292,04/04/2016,2016-04-04 10:07:10,0.0
293,04/04/2016,2016-04-04 10:14:09,0.0
294,04/04/2016,2016-04-04 10:21:12,0.0
295,04/04/2016,2016-04-04 10:27:16,0.0
296,04/04/2016,2016-04-04 10:35:10,0.0
297,04/04/2016,2016-04-04 10:42:13,0.0
298,04/04/2016,2016-04-04 10:49:13,0.0
299,04/04/2016,2016-04-04 10:56:10,0.0
300,04/04/2016,2016-04-04 11:07:59,0.0
301,04/04/2016,2016-04-04 11:14:13,0.0
302,04/04/2016,2016-04-04 11:21:07,0.0
303,04/04/2016,2016-04-04 11:27:06,0.0
304,04/04/2016,2016-04-04 11:35:07,0.0
305,04/04/2016,2016-04-04 11:42:11,0.0
306,04/04/2016,2016-04-04 11:56:11,0.0
307,04/04/2016,2016-04-04 12:07:14,0.0
308,04/04/2016,2016-04-04 12:21:11,0.0
309,04/04/2016,2016-04-04 12:27:08,0.0
310,04/04/2016,2016-04-04 12:42:10,0.0
311,04/04/2016,2016-04-04 12:49:11,0.0
312,04/04/2016,2016-04-04 12:56:11,0.0
313,04/04/2016,2016-04-04 13:00:12,0.0
314,04/04/2016,2016-04-04 13:07:10,0.0
315,04/04/2016,2016-04-04 13:14:05,0.0
316,04/04/2016,2016-04-04 13:21:10,0.0
317,04/04/2016,2016-04-04 13:27:04,0.0
318,04/04/2016,2016-04-04 13:35:06,0.0
319,04/04/2016,2016-04-04 13:42:07,0.0
320,04/04/2016,2016-04-04 13:49:06,0.0
321,04/04/2016,2016-04-04 13:56:32,0.0
322,04/04/2016,2016-04-04 14:07:05,0.0
323,04/04/2016,2016-04-04 14:21:10,0.0
324,04/04/2016,2016-04-04 14:27:09,0.0
325,04/04/2016,2016-04-04 14:35:09,0.0
326,04/04/2016,2016-04-04 14:42:07,0.0
327,04/04/2016,2016-04-04 14:49:07,0.0
328,04/04/2016,2016-04-04 14:56:10,0.0
329,04/04/2016,2016-04-04 15:07:11,0.0
330,04/04/2016,2016-04-04 15:14:20,0.0
331,04/04/2016,2016-04-04 15:21:09,0.0
332,04/04/2016,2016-04-04 15:27:46,0.0
333,04/04/2016,2016-04-04 15:35:21,0.0
334,04/04/2016,2016-04-04 15:42:15,0.0
335,04/04/2016,2016-04-04 15:49:10,0.0
336,04/04/2016,2016-04-04 15:56:08,0.0
337,04/04/2016,2016-04-04 16:07:12,0.0
338,04/04/2016,2016-04-04 16:14:08,0.0
339,04/04/2016,2016-04-04 16:21:24,0.0
