,name,duration
0,7 dwarfs train,3.0
1,pirates of caribbean,7.5
2,astro orbiter,1.5
3,regal carrousel,2.0
4,big thunder mtn,7.0
5,splash mountain,18.0
6,space mountain,10.0
7,jungle cruise,8.0
8,mad tea party,1.5
9,dumbo,1.5
10,magic carpets,1.5
11,peoplemover,10.0
12,under the sea,7.0
13,barnstormer,2.0
14,winnie the pooh,4.0
15,enchanted tiki rm,14.5
16,haunted mansion,10.0
17,buzz lightyear,4.5
