,name,avg_wait_time
0,7 dwarfs train,5.0
1,pirates of caribbean,1.5
2,astro orbiter,13.5
3,regal carrousel,5.0
4,big thunder mtn,2.5
5,splash mountain,3.5
6,space mountain,3.0
7,jungle cruise,3.5
8,mad tea party,7.5
9,dumbo,10.0
10,magic carpets,16.0
11,peoplemover,1.5
12,under the sea,3.0
13,barnstormer,7.0
14,winnie the pooh,4.0
15,enchanted tiki rm,0.0
16,haunted mansion,2.5
17,buzz lightyear,3.0
